,smi,Score,Score_bin
193,Cc1cc([C@@H]2CCCN2C(=O)c2ccc(C)cc2)no1,-28.760341999999998,0
194,CCN1C[C@]2(CC1=O)CN(Cc1ccc(C)s1)CCN(C(=O)N(C)C)C2,-11.881594,0
195,CSc1cccc(NS(=O)(=O)c2cc(C(=O)O)ccc2F)c1,-26.135117,0
196,Nc1nc(O)cc(-c2ccc(C(=O)N3CCCCCC3)cc2)n1,-20.42122,0
197,COc1ccccc1C(=O)N[C@H]1CCN(c2cc(-c3ccc(Cl)cc3)n[nH]2)C1,-34.332364,1
198,O=C(CSc1ccccc1)NC1CCN(c2ccc(C(F)(F)F)cn2)CC1,-32.449025,1
199,Cn1cc(NC(=O)c2ccc3c(c2)C(=O)N(Cc2ccc(F)cc2)C3=O)cn1,-30.861775,1
200,C[C@H](NC(=O)c1cccs1)C(=O)Nc1ccc2scnc2c1,-21.858306,0
201,CNC(=O)CN1CCC(NC(=O)C2(c3cccc(C)c3)CC2)CC1,-17.542412,0
202,Cc1nc(-n2nc(C)c(Cc3ccc(C)cc3)c2O)sc1C(=O)N1CCCC1,-20.483,0
203,O=C(Nc1ccc2c(c1)COC2)N1CCC[C@H]1Cc1ccccc1,-32.402423,1
204,Cc1cccc(F)c1NC(=O)NC[C@H]1CCC[C@@]12NC(=O)NC2=O,-22.204779000000002,0
205,O=C(c1ccc(Cl)cc1F)N1CCC(OCc2ccccn2)CC1,-28.143254,0
206,C[C@H](N)[C@@H]1CCCN(C(=O)c2ccn(-c3cccc(Cl)c3)n2)C1,-17.090401999999994,0
207,Cc1cccc(NC(=O)[C@H]2CC(=O)N(Cc3ccc(Cl)cc3)C2)n1,-28.286556,0
208,CCS(=O)(=O)Oc1ccc(CN(C(=O)Nc2ccccc2C)C2CC2)cc1,-34.196471,1
209,O=C(CNc1ccc(-n2cncn2)c(Cl)c1)N1CCCCCC1,-21.612144,0
210,CCc1nc(CN2CCN(c3ccc(O)cc3)CC2)cs1,-20.669857999999998,0
211,Cc1ccc(C(=O)NCCCNC(=O)c2ccc(C)c(C)c2)cn1,-31.623683000000003,1
212,N[C@@H]1[C@H](c2cccc(F)c2)[C@@H]1S(=O)(=O)c1ccc(Cl)cc1,-28.512729999999998,0
213,c1ccc(CO[C@@H]2CCOC[C@H]2Nc2nccc(C3CCCC3)n2)nc1,-22.836614,0
214,Cc1cc(C(=O)N[C@@H](C)c2nc[nH]n2)c(C)cc1Br,-24.730933,0
215,Cc1ccccc1-n1nc(C(=O)Nn2c(O)nnc2O)c2c1CCC2,-15.591459,0
216,CCCN(C)C(=O)Nc1cccc(S(=O)(=O)N2CCCCC2)c1,-17.941208,0
217,C[C@@H](C(=O)Oc1ccc(Cl)cc1Cl)N1C(=O)c2ccccc2C1=O,-26.761034999999996,0
218,COC(=O)CNC(=O)c1csc(COc2ccc(Cl)cc2)n1,-27.798561,0
219,CCn1nc(C(=O)N[C@H]2CCc3nccn3C2)c2ccccc2c1=O,-27.363816999999997,0
220,COc1ccc(-n2nc(CC(N)=O)nc2[C@@H]2CSC(C)(C)C(=O)N2)cc1,-17.916141,0
221,Cc1cnc(CN2C[C@]3(CCCN(c4ccncc4C)C3)CCC2=O)cn1,-20.799657999999997,0
222,COc1cc2c(cc1CNC(=O)c1csc(N)n1)OCCO2,-31.848238000000002,1
223,COc1cc([C@@H](C)NC(=O)NCC2(OC)CCC2)ccc1F,-20.838684,0
224,CC(=O)N[C@H](C(=O)Nc1nc(CN2CCCCC2)cs1)C(C)C,-5.158718,0
225,O=C(O)C[C@@H]1CN(C(=O)C[C@@H]2OCCc3ccccc32)CCO1,-21.717865,0
226,Cc1cc(C)n(Cc2cccc(NC(=O)[C@@H]3C[C@@H]3C(=O)O)c2)n1,-33.50047,1
227,Cn1cccc(C(=O)NC2CCN(Cc3ccc(Cl)cc3)CC2)c1=O,-23.965706,0
228,Cc1cc(NC(=O)COC(=O)c2csc(-c3ccsc3)n2)no1,-17.801455999999995,0
229,CN1CC(=O)N2CCN(C(=O)c3cc(N)ccn3)C[C@H]2C1=O,-33.964814000000004,1
230,COC(=O)C1CCN(C(=O)C[C@@H](C)Nc2cc(C)cc(C)c2)CC1,-23.809442999999998,0
231,CCc1ccccc1NC(=O)CNC(=O)c1cc2ccc(OC)cc2nc1C,-23.116511,0
232,COCCN(Cc1ccco1)C(=O)c1ccc(CS(C)(=O)=O)cc1,-27.910747999999998,0
233,O=C(COC(=O)c1cc(=O)c2ccccc2o1)N1CCc2ccccc2C1,-34.066562,1
234,COc1ccc(Cl)cc1NC(=O)CCNc1ccnc(C)n1,-25.508325,0
235,CC[C@H](C)n1nc(O)c2c1NC(=O)CS[C@H]2c1ccccc1OC,-15.851442,0
236,CCc1cc(C)nc(NCC2(c3ccc(F)cc3)CCOCC2)n1,-18.829401999999998,0
237,COCCN1CCC(NC(=O)C(C)(C)c2ccccc2F)CC1,-16.562045,0
238,CCOc1ccc(CC(=O)N2CCc3nn(C)c(=O)n3CC2)cc1OCC,-17.737871,0
239,O=C(NC1CC1)[C@@H]1C[C@H](Oc2ccccc2)CN1C(=O)c1n[nH]c2ccccc21,-26.775307,0
240,Cc1cc(C)n([C@@H](C)C(=O)N[C@@H](C(N)=O)c2ccccc2)n1,-22.912979999999997,0
241,CCNC(=O)N1C[C@@H]2C[C@H]1C(=O)N(Cc1ccccc1)c1ccccc1O2,-21.265341,0
242,Cc1ccc(S(=O)(=O)Nc2ccc(OC(C)C)cc2)cc1C(=O)O,-26.959761,0
243,Cc1ccc2ncn(CC(=O)NCc3ccccc3F)c(=O)c2c1,-25.125902,0
244,CC(C)c1noc(CCCNc2ncnc3c2cnn3C)n1,-19.743897,0
245,O=C(CCn1cnnn1)N1CCc2[nH]c(-c3cccc(F)c3)nc2C1,-39.796075,1
246,Nn1cc(-c2ccccc2)nc1SCc1nc(-c2ccccc2)no1,-27.713029,0
247,Cc1cc(C)nc(SCC(=O)N([C@@H](C)c2ccccn2)C2CC2)n1,-16.311777,0
248,COc1cc(CN[C@H]2CCN(CC(F)(F)F)C2)cc(Cl)c1OCC(N)=O,-15.5006,0
249,COc1cccc(-c2noc(CN3C[C@H](C)OCC3(C)C)n2)c1,-25.576587,0
250,CC[C@@H](Cn1ccnc1)NC(=O)c1ccc(CSc2ccccn2)cc1,-26.434043,0
251,CCc1ccc(CN2CCN(C)[C@]3(C2)CCC(=O)N(CCOC)CC3)nc1,-19.22896,0
252,COc1ccc([C@H](NC(=O)C(C)C)c2ccc3cccnc3c2O)cc1,-30.777293,1
253,C[C@H](C[S@](C)=O)N(C)[C@@H]1CCCN(c2ccccc2F)C1=O,-24.163751,0
254,COCCn1cnnc1CCNC(=O)Nc1cc(F)cc2c1NC(=O)CC2,-21.948104,0
255,CO[C@@H](C)c1noc(CN2CCCN(c3nc(C)cs3)CC2)n1,-30.883936,1
256,CCOC(=O)c1sc2ncn(CC(=O)NCc3ccccc3C)c(=O)c2c1C,-39.401983,1
257,O=C(c1ccc2nsnc2c1)N(CC(F)(F)F)C1CCOCC1,-18.157176,0
